suite,term,model_id,capability_id,capability_level,task_count,task_equal_mase_degradation,task_bootstrap_95_ci_lower,task_bootstrap_95_ci_upper,task_median_mase_degradation,positive_task_fraction,paired_view_count
fev,native,Timer-4.0,covariate_impulse_response,5,8,-0.1034272159799747,-0.32297096018368043,0.03995149211632457,-0.002740072594313448,0.375,17495
fev,native,Timer-4.0,cross_series_dependence,1,8,0.024667502370849838,-0.0129675670707921,0.08318595734379645,-0.0002475664091250877,0.5,260
fev,native,Timer-4.0,cross_series_dependence,2,8,0.033322506317091945,-0.012997874878225608,0.11201241103023118,-7.439838736799027e-05,0.5,260
fev,native,Timer-4.0,cross_series_dependence,3,8,0.023394534259727068,-0.0126578620743404,0.0842596898008694,0.00042295785374808835,0.5,260
fev,native,Timer-4.0,cross_series_dependence,4,8,0.009239118888650314,-0.008810660332095991,0.03848117761013897,-0.0007812832071906958,0.5,260
fev,native,Timer-4.0,cross_series_dependence,5,8,0.013371716216591412,-0.0045345744157473744,0.043377616207486154,0.00028360814181356065,0.5,260
fev,native,timesfm2.5,covariate_impulse_response,1,6,0.042073551593401044,0.006676767397954454,0.08302056667914427,0.03561803741916866,0.8333333333333334,10756
fev,native,timesfm2.5,covariate_impulse_response,2,6,0.03653207787781019,0.006335224902070123,0.06920650746316843,0.03448573283026708,0.8333333333333334,10756
fev,native,timesfm2.5,covariate_impulse_response,3,6,0.0283743879328589,0.0031104807726547814,0.053301785850439126,0.026460157959503804,0.6666666666666666,10756
fev,native,timesfm2.5,covariate_impulse_response,4,6,0.04018622436083377,0.0037989176285119788,0.08946245168311308,0.025612051263321382,0.6666666666666666,10756
fev,native,timesfm2.5,covariate_impulse_response,5,6,0.04003014682864082,-0.001629105052356844,0.09891398081379406,0.01937411759031525,0.6666666666666666,10756
fev,native,tirex2,common_factor,1,8,-0.003957442950381135,-0.008043252441597041,7.485964328725103e-05,-0.0036635686294610803,0.25,260
fev,native,tirex2,common_factor,2,8,-0.012052531270045873,-0.033135418966843605,-5.5085934516124714e-05,-0.0024400387174200434,0.25,260
fev,native,tirex2,common_factor,3,8,-0.0259821320305089,-0.07801742464425082,0.002414384801335613,-0.002238239783711597,0.25,260
fev,native,tirex2,common_factor,4,8,-0.03460945775897522,-0.10163158430093489,0.0005246560247901768,-0.0020710952429274484,0.25,260
fev,native,tirex2,common_factor,5,8,-0.021411743530235693,-0.06005490180027123,0.00032275445311817424,-0.003314584063009574,0.25,260
fev,native,tirex2,covariate_impulse_response,1,8,0.03994091612970105,-0.5348588586174112,0.7372461667734719,-0.0003918183995497676,0.375,17495
fev,native,tirex2,covariate_impulse_response,2,8,0.056800590532264245,-0.5321375032404967,0.7711982484762232,0.002186664008972013,0.75,17495
fev,native,tirex2,covariate_impulse_response,3,8,0.04087991215415901,-0.5310879128842829,0.7112404765445975,0.007539673072607641,0.75,17495
fev,native,tirex2,covariate_impulse_response,4,8,0.016666375173736536,-0.5239503487674637,0.631074208520551,0.007780602973008282,0.625,17495
fev,native,tirex2,covariate_impulse_response,5,8,0.03800805508664984,-0.49878471589237644,0.6639329425098637,0.004440812574208564,0.625,17495
fev,native,tirex2,cross_series_dependence,1,8,-0.0051284301626267625,-0.016135987899482764,0.0031403023915390466,0.00080054314837757,0.625,260
