suite,ablated_input_mase_micro_mean,capability_id,capability_level,dataset_count,full_input_mase_micro_mean,model_id,paired_view_count,positive_degradation_fraction,schema_version,target_only_mase_degradation_micro_mean,target_only_mase_degradation_task_equal_mean,target_only_response_ratio_micro_mean,term
gift,0.9525950786650946,common_factor,1,4,0.9586950664157221,Chronos-2,11,0.45454545454545453,cafe.target_only_ablation_trial.v1,-0.006099987750627387,-0.017247455007038497,0.5875686591995621,medium
gift,0.9611787418772617,common_factor,2,4,0.9616122934938031,Chronos-2,11,0.5454545454545454,cafe.target_only_ablation_trial.v1,-0.0004335516165415115,-0.014040583713688735,0.39306978072848947,medium
gift,0.9720759862106473,common_factor,3,4,0.963522570242402,Chronos-2,11,0.5454545454545454,cafe.target_only_ablation_trial.v1,0.008553415968245538,-0.008269898599185838,0.29373584254424456,medium
gift,0.9795298121781486,common_factor,4,4,0.9620787508568873,Chronos-2,11,0.5454545454545454,cafe.target_only_ablation_trial.v1,0.017451061321261438,-0.0017390917805498105,0.2258755089239795,medium
gift,0.9910269571051855,common_factor,5,4,0.9580189285511719,Chronos-2,11,0.6363636363636364,cafe.target_only_ablation_trial.v1,0.03300802855401348,0.00851461069287697,0.19431712686231747,medium
gift,4.652014711073046,covariate_impulse_response,1,4,4.621175590708088,Chronos-2,165,0.4303030303030303,cafe.target_only_ablation_trial.v1,0.0308391203649571,0.03382604212881163,0.07455228080935448,medium
gift,4.990631879669044,covariate_impulse_response,2,4,4.961131271189785,Chronos-2,165,0.49696969696969695,cafe.target_only_ablation_trial.v1,0.029500608479259026,0.03200319007021732,0.054332659636288236,medium
gift,5.857665445749243,covariate_impulse_response,3,4,5.860558083463725,Chronos-2,165,0.4666666666666667,cafe.target_only_ablation_trial.v1,-0.002892637714482482,-4.007745687822391e-05,0.04438389352038083,medium
gift,6.937009464746129,covariate_impulse_response,4,4,6.932644905975794,Chronos-2,165,0.4909090909090909,cafe.target_only_ablation_trial.v1,0.004364558770334323,-9.416458116876374e-05,0.03719795082528357,medium
gift,8.317784369136039,covariate_impulse_response,5,4,8.326411805654267,Chronos-2,165,0.5151515151515151,cafe.target_only_ablation_trial.v1,-0.008627436518229442,-0.012175637756556676,0.031121086388669183,medium
gift,10.997595055243782,cross_series_dependence,1,6,10.96398355349295,Chronos-2,42,0.6666666666666666,cafe.target_only_ablation_trial.v1,0.033611501750829754,0.008287374241085258,0.6409590334812008,medium
gift,14.829891857471042,cross_series_dependence,2,6,14.799998594456099,Chronos-2,42,0.6428571428571429,cafe.target_only_ablation_trial.v1,0.029893263014942266,0.0034262981992239303,0.43909651622254925,medium
gift,19.797888079502883,cross_series_dependence,3,6,19.771070725948405,Chronos-2,42,0.5714285714285714,cafe.target_only_ablation_trial.v1,0.026817353554480085,0.003962680688950525,0.3062413441741376,medium
gift,26.2742441369712,cross_series_dependence,4,6,26.243684004060302,Chronos-2,42,0.5476190476190477,cafe.target_only_ablation_trial.v1,0.030560132910895047,0.003928709811308981,0.24109788503095628,medium
gift,36.24610023924544,cross_series_dependence,5,6,36.204450348373705,Chronos-2,42,0.5476190476190477,cafe.target_only_ablation_trial.v1,0.041649890871730356,0.00750263189809174,0.19292174679553464,medium
gift,1.165239961469313,common_factor,1,4,1.1675959485473726,Timer-4.0,11,0.5454545454545454,cafe.target_only_ablation_trial.v1,-0.0023559870780595574,-0.015292405833744263,0.7686441372805394,medium
gift,1.1414412234705695,common_factor,2,4,1.1298778319682201,Timer-4.0,11,0.7272727272727273,cafe.target_only_ablation_trial.v1,0.011563391502349278,-0.011084851306316576,0.46746565397447326,medium
gift,1.1397301987202169,common_factor,3,4,1.1175088190161089,Timer-4.0,11,0.6363636363636364,cafe.target_only_ablation_trial.v1,0.022221379704107938,-0.003462135695203719,0.3153857178444354,medium
gift,1.179457953401609,common_factor,4,4,1.145149959243344,Timer-4.0,11,0.5454545454545454,cafe.target_only_ablation_trial.v1,0.03430799415826493,0.008933585438692847,0.19790855906118826,medium
gift,1.2416669647536311,common_factor,5,4,1.180593023949278,Timer-4.0,11,0.6363636363636364,cafe.target_only_ablation_trial.v1,0.06107394080435289,0.03303084555165427,0.14445403187572617,medium
gift,8.421236346964232,covariate_impulse_response,1,4,8.363946957694974,Timer-4.0,165,0.48484848484848486,cafe.target_only_ablation_trial.v1,0.05728938926925694,0.061681135661939564,0.059043741824258734,medium
gift,7.83760737956485,covariate_impulse_response,2,4,7.783825882335828,Timer-4.0,165,0.4121212121212121,cafe.target_only_ablation_trial.v1,0.05378149722902148,0.05426710628281852,0.039292578031381996,medium
gift,11.975840410664745,covariate_impulse_response,3,4,12.111730715920519,Timer-4.0,165,0.43636363636363634,cafe.target_only_ablation_trial.v1,-0.13589030525577528,-0.13066745629966045,0.02925396849880327,medium
