suite,term,dataset_id,model_id,capability_id,capability_level,paired_view_count,mase_degradation_mean,mase_degradation_median,positive_degradation_fraction,full_input_mase_mean,ablated_input_mase_mean,response_ratio_mean
gift,long,gift_bizitobs_application,toto2.0,cross_series_dependence,4,1,0.01303319492208388,0.01303319492208388,1.0,20.93260976276204,20.945642957684125,0.006602973341228815
gift,long,gift_bizitobs_application,toto2.0,cross_series_dependence,5,1,0.012209019899145801,0.012209019899145801,1.0,38.30726931380404,38.31947833370319,0.003252586983438616
gift,long,gift_bizitobs_l2c_h,Chronos-2,common_factor,1,1,0.01575225703996852,0.01575225703996852,1.0,0.3892159680229098,0.40496822506287833,0.1961929122596542
gift,long,gift_bizitobs_l2c_h,Chronos-2,common_factor,2,1,0.014014544127176676,0.014014544127176676,1.0,0.41669335465650936,0.43070789878368604,0.17053289381463277
gift,long,gift_bizitobs_l2c_h,Chronos-2,common_factor,3,1,0.004457220477382451,0.004457220477382451,1.0,0.4326132033068048,0.43707042378418726,0.1183029034557696
gift,long,gift_bizitobs_l2c_h,Chronos-2,common_factor,4,1,-0.00438142612565251,-0.00438142612565251,0.0,0.42973038781464995,0.42534896168899744,0.08220922919919346
gift,long,gift_bizitobs_l2c_h,Chronos-2,common_factor,5,1,-0.0073400119163822275,-0.0073400119163822275,0.0,0.42792305486700843,0.4205830429506262,0.07495605390882304
gift,long,gift_bizitobs_l2c_h,Chronos-2,cross_series_dependence,1,1,0.007119373709334076,0.007119373709334076,1.0,0.29385731648463337,0.30097669019396744,0.18993577932839892
gift,long,gift_bizitobs_l2c_h,Chronos-2,cross_series_dependence,2,1,0.002687940544259748,0.002687940544259748,1.0,0.34086874728698774,0.3435566878312475,0.11831527895213122
gift,long,gift_bizitobs_l2c_h,Chronos-2,cross_series_dependence,3,1,-0.0008309990231723519,-0.0008309990231723519,0.0,0.44418526769694294,0.4433542686737706,0.08658056098836468
gift,long,gift_bizitobs_l2c_h,Chronos-2,cross_series_dependence,4,1,-0.005845867593779586,-0.005845867593779586,0.0,0.5417013991290074,0.5358555315352278,0.07497069092948981
gift,long,gift_bizitobs_l2c_h,Chronos-2,cross_series_dependence,5,1,-0.013278612978489868,-0.013278612978489868,0.0,0.8505120127896764,0.8372333998111865,0.056355376184487854
