objective_id,corpus,step,metric,dataset_id,capability_id,capability_level,baseline,value,absolute_change,relative_change_percent,improved
default,train,0,mase,gift_electricity_h,trend,4,1.2084029530305485,1.2084029530305485,0.0,0.0,False
default,train,0,mase,gift_electricity_h,trend,5,1.2101647441319912,1.2101647441319912,0.0,0.0,False
default,train,0,mase,gift_ett1_h,common_factor,1,0.9595828388737783,0.9595828388737783,0.0,0.0,False
default,train,0,mase,gift_ett1_h,common_factor,2,0.9575165825835038,0.9575165825835038,0.0,0.0,False
default,train,0,mase,gift_ett1_h,common_factor,3,0.9576461288360918,0.9576461288360918,0.0,0.0,False
default,train,0,mase,gift_ett1_h,common_factor,4,0.958810069280912,0.958810069280912,0.0,0.0,False
default,train,0,mase,gift_ett1_h,common_factor,5,0.9575496837488666,0.9575496837488666,0.0,0.0,False
default,train,0,mase,gift_ett1_h,cross_series_dependence,1,0.9947698092296736,0.9947698092296736,0.0,0.0,False
default,train,0,mase,gift_ett1_h,cross_series_dependence,2,1.0122867619821143,1.0122867619821143,0.0,0.0,False
default,train,0,mase,gift_ett1_h,cross_series_dependence,3,1.048606295428681,1.048606295428681,0.0,0.0,False
default,train,0,mase,gift_ett1_h,cross_series_dependence,4,1.0823387867558492,1.0823387867558492,0.0,0.0,False
default,train,0,mase,gift_ett1_h,cross_series_dependence,5,1.1162121430934984,1.1162121430934984,0.0,0.0,False
default,train,0,mase,gift_ett1_h,multi_seasonal,1,1.0353213405415116,1.0353213405415116,0.0,0.0,False
default,train,0,mase,gift_ett1_h,multi_seasonal,2,1.0063456015847045,1.0063456015847045,0.0,0.0,False
default,train,0,mase,gift_ett1_h,multi_seasonal,3,1.0030208544001664,1.0030208544001664,0.0,0.0,False
default,train,0,mase,gift_ett1_h,multi_seasonal,4,1.0233406294902179,1.0233406294902179,0.0,0.0,False
default,train,0,mase,gift_ett1_h,multi_seasonal,5,1.0702516292709536,1.0702516292709536,0.0,0.0,False
default,train,0,mase,gift_ett1_h,predictable_intermittency,1,0.9929297938207288,0.9929297938207288,0.0,0.0,False
default,train,0,mase,gift_ett1_h,predictable_intermittency,2,1.089173687840923,1.089173687840923,0.0,0.0,False
default,train,0,mase,gift_ett1_h,predictable_intermittency,3,1.0717516060592387,1.0717516060592387,0.0,0.0,False
default,train,0,mase,gift_ett1_h,predictable_intermittency,4,0.997267136405958,0.997267136405958,0.0,0.0,False
default,train,0,mase,gift_ett1_h,predictable_intermittency,5,0.9804156276234909,0.9804156276234909,0.0,0.0,False
default,train,0,mase,gift_ett1_h,regime_switching,1,0.9687008420925813,0.9687008420925813,0.0,0.0,False
default,train,0,mase,gift_ett1_h,regime_switching,2,0.9687008420925813,0.9687008420925813,0.0,0.0,False
default,train,0,mase,gift_ett1_h,regime_switching,3,0.9714508505599401,0.9714508505599401,0.0,0.0,False
default,train,0,mase,gift_ett1_h,regime_switching,4,0.9724535986685361,0.9724535986685361,0.0,0.0,False
default,train,0,mase,gift_ett1_h,regime_switching,5,0.9678011297250878,0.9678011297250878,0.0,0.0,False
default,train,0,mase,gift_ett1_h,time_varying_seasonality,1,0.9721697797370693,0.9721697797370693,0.0,0.0,False
