model_id,capability_id,n,mean,sd,cv,median,min,max,range,seed_p025,seed_p975,mean_ci95_low,mean_ci95_high,desired_rate,unanimous_desired_levels,unanimous_undesired_levels,threshold_crossing_levels,median_seed_sd_to_task_se_ratio,max_seed_sd_to_task_se_ratio,task_count_min,task_count_max
Timer-3.5,regime_switching,10,0.1187796615070053,0.00428820075326051,0.036102146603672586,0.11857343697376523,0.11318213828326866,0.12516942723393132,0.011987288950662658,0.11336646021108478,0.12514060052006942,0.11571206748404937,0.12184725552996122,1.0,5,0,0,0.20426006159383175,0.3060573875488409,10,10
Timer-3.5,predictable_intermittency,10,0.9271838547347517,0.03583393145506633,0.03864814003401481,0.9165650253643858,0.8822079650398955,1.0110241005710108,0.12881613553111526,0.8859779702500373,0.9996146675218415,0.9015498044009389,0.9528179050685646,0.56,2,2,1,0.7125940226359121,1.4403186129218128,10,10
Timer-3.5,common_factor,10,0.3377201357820777,0.028313786894375425,0.08383801821235083,0.3495383148174219,0.29388707306317186,0.36422560156584494,0.07033852850267308,0.2952550159367955,0.3638795946701085,0.31746567279351684,0.3579745987706386,1.0,5,0,0,0.44831957012845547,0.530836974371223,4,4
Timer-3.5,cross_series_dependence,10,0.9826222687522993,0.051941503003964724,0.05286009146721079,0.9654685121765602,0.9190477842393466,1.0744898935846434,0.1554421093452968,0.9208297615636979,1.0673267009767078,0.9454655558728569,1.0197789816317417,0.64,0,0,5,0.435106889611295,0.5515842054897173,8,8
Timer-3.5,covariate_impulse_response,10,0.5028715550510263,0.041714443052410635,0.08295248087392391,0.5064740403959451,0.4365036674576591,0.5641670924349027,0.1276634249772436,0.440862209394358,0.5618927639286161,0.4730308401355191,0.5327122699665335,1.0,5,0,0,0.4774985038426805,0.6040276650290746,6,6
tirex2,trend,10,0.363623490094246,0.06317612452830842,0.1737404932556312,0.3604509043630848,0.27009835973201174,0.46924412222009826,0.19914576248808652,0.2753401555531619,0.46000448579648684,0.31843001312160085,0.40881696706689113,1.0,5,0,0,0.22587358943191357,0.5210909308066646,10,10
tirex2,multi_seasonal,10,0.9371058124397944,0.024198059423955337,0.025822120728239504,0.9337435631742261,0.893763181037782,0.9697150723942485,0.07595189135646652,0.8986620833907096,0.9693345643436961,0.9197955635202172,0.9544160613593716,0.74,3,0,2,0.10837349470995034,0.11653107403370003,10,10
tirex2,time_varying_seasonality,10,0.4663501001483807,0.020537320997087483,0.04403841875567955,0.46353210454867233,0.4364935179994484,0.4972952726878341,0.06080175468838567,0.43755791637366376,0.4958545305927517,0.4516585857433494,0.481041614553412,1.0,5,0,0,0.23074410510755725,0.2445875504999513,9,9
tirex2,regime_switching,10,0.08604178701296451,0.018338453459480892,0.21313426994162393,0.08205483208349006,0.0677801364514142,0.12351634318630733,0.05573620673489313,0.06802405940553738,0.12046394970410365,0.07292324768623501,0.09916032633969402,1.0,5,0,0,0.575037621306764,0.6237942471153005,10,10
tirex2,predictable_intermittency,10,1.1182653423091375,0.08073305357705221,0.07219489911968859,1.1287103324043142,0.9995763473318975,1.258731248741216,0.2591549014093184,1.0004469906014029,1.2426456826343253,1.0605123948941542,1.176018289724121,0.32,1,3,1,0.3943831608784735,0.46947038286573706,10,10
