metric,model_id,capability_id,capability_level,n,mean,sd,cv,median,min,max,range,seed_p025,seed_p975,mean_ci95_low,mean_ci95_high,desired_count,desired_rate,direction_category,direction_unanimous,mean_approx_task_bootstrap_se,seed_sd_to_task_se_ratio,seed_mean_ci_relation_to_1,task_count_min,task_count_max,task_coverage_min,task_coverage_max,worst_seed,best_seed
capability_effect_nrmse,Chronos-2,multi_seasonal,1,10,0.9091865785109521,0.10433704890328455,0.11475867700793133,0.9297688239791784,0.7163765370200043,1.0565610913536634,0.34018455433365913,0.7383267329697,1.0532719398568984,0.8345483500312763,0.9838248069906279,8,0.8,crosses_threshold,False,0.2988252513503052,0.3491574036391352,below,10,10,1.0,1.0,2026082705,2026082703
capability_effect_nrmse,Chronos-2,multi_seasonal,2,10,0.8292060239527999,0.10175365838531564,0.12271215529797896,0.8248430093304113,0.6767955568031239,0.9826599952866071,0.3058644384834832,0.6853218538670246,0.9802515585972505,0.7564158417209255,0.9019962061846742,10,1.0,unanimous_desired,True,0.18710614610547077,0.543828519283154,below,10,10,1.0,1.0,2026082702,2026082701
capability_effect_nrmse,Chronos-2,multi_seasonal,3,10,0.8491321829110806,0.07524766001919862,0.08861713350826841,0.8533951582374604,0.7181461142007881,0.9772814393757159,0.25913532517492777,0.7279524672771276,0.9633904563914635,0.7953032496595757,0.9029611161625856,10,1.0,unanimous_desired,True,0.16880700241419525,0.4457614846721011,below,10,10,1.0,1.0,2026082706,2026082701
capability_effect_nrmse,Chronos-2,multi_seasonal,4,10,0.8666321751524315,0.059626688710028464,0.0688027636402269,0.8713543331314759,0.7766630919719382,0.9518171082323731,0.17515401626043492,0.7784529332039526,0.9461612240557465,0.8239778116046284,0.9092865387002347,10,1.0,unanimous_desired,True,0.14772042256515577,0.40364553305910444,below,10,10,1.0,1.0,2026082703,2026082701
capability_effect_nrmse,Chronos-2,multi_seasonal,5,10,0.8892169433956798,0.05920709252703731,0.06658340573329764,0.8915227824124379,0.8052845633395416,0.989430486356013,0.18414592301647148,0.8096102059040947,0.9843545705191251,0.8468627408750907,0.9315711459162689,10,1.0,unanimous_desired,True,0.13220000715527694,0.4478599797464079,below,10,10,1.0,1.0,2026082710,2026082708
capability_effect_nrmse,Chronos-2,predictable_intermittency,1,10,0.7368326890873831,0.07275050813846393,0.09873409420606777,0.7129899075071569,0.6536574042942718,0.8710845693181145,0.21742716502384274,0.6580778620974901,0.8595583084019811,0.6847901106789741,0.7888752674957921,10,1.0,unanimous_desired,True,0.1453887404386218,0.5003861228798301,below,10,10,1.0,1.0,2026082709,2026082704
capability_effect_nrmse,Chronos-2,predictable_intermittency,2,10,0.9967328610359278,0.12851441506648134,0.12893566580408847,0.9994194591605711,0.8374824079887426,1.2489907320627178,0.4115083240739752,0.8465617132959588,1.2144641929120061,0.9047991867036651,1.0886665353681906,5,0.5,crosses_threshold,False,0.1636520481227803,0.785290600030029,includes,10,10,1.0,1.0,2026082704,2026082708
capability_effect_nrmse,Chronos-2,predictable_intermittency,3,10,0.9669485162996547,0.09263865363680274,0.09580515619519733,0.9296593379711282,0.8718836628260949,1.1788839975276546,0.30700033470155974,0.8770908030797849,1.152914164846731,0.9006788156624195,1.03321821693689,8,0.8,crosses_threshold,False,0.07458500412392587,1.2420546827734975,includes,10,10,1.0,1.0,2026082704,2026082709
capability_effect_nrmse,Chronos-2,predictable_intermittency,4,10,1.0083956283963578,0.06339156634313227,0.06286378536164748,0.99524597180291,0.8937778771764142,1.112409643543558,0.21863176636714376,0.9095645702587302,1.1033313112545535,0.9630480336336474,1.053743223159068,5,0.5,crosses_threshold,False,0.05486361023639149,1.1554392077006284,includes,10,10,1.0,1.0,2026082709,2026082703
capability_effect_nrmse,Chronos-2,predictable_intermittency,5,10,1.1179627433843016,0.022851647401850965,0.020440437337539856,1.119545624029612,1.0861603820612264,1.1648004092019053,0.07864002714067886,1.0880364509858012,1.1573989841457613,1.1016156596029942,1.134309827165609,0,0.0,unanimous_undesired,True,0.04088673129885305,0.5589013030858742,above,10,10,1.0,1.0,2026082704,2026082702
capability_effect_nrmse,Chronos-2,regime_switching,1,10,0.06462381742374682,0.012095140377150575,0.18716227018656542,0.06349858055890337,0.04958358320846097,0.08712710863974486,0.03754352543128389,0.05017388436301495,0.08477964297367604,0.05597147522648635,0.07327615962100728,10,1.0,unanimous_desired,True,0.03426804333770654,0.35295684255896204,below,10,10,1.0,1.0,2026082705,2026082710
capability_effect_nrmse,Chronos-2,regime_switching,2,10,0.10199867900486585,0.027527245919982398,0.2698784551775343,0.09610057074564445,0.06876351984943535,0.14338432492032605,0.0746208050708907,0.0689385628842037,0.14053149283959157,0.08230687353415167,0.12169048447558004,10,1.0,unanimous_desired,True,0.05368230394309007,0.5127806352939827,below,10,10,1.0,1.0,2026082705,2026082710
capability_effect_nrmse,Chronos-2,regime_switching,3,10,0.09677343831740236,0.012431651497961478,0.12846140133191844,0.09826023976430576,0.08000635590273328,0.1140350386642229,0.034028682761489626,0.08030282254796642,0.11393088016926783,0.08788037056593997,0.10566650606886474,10,1.0,unanimous_desired,True,0.04506648430002216,0.2758513713916523,below,10,10,1.0,1.0,2026082707,2026082710
capability_effect_nrmse,Chronos-2,regime_switching,4,10,0.12193474290082115,0.013730494859996945,0.11260527174904535,0.12582512238455373,0.09762619348405324,0.13981650700345,0.042190313519396755,0.09948147845411126,0.1384435542774945,0.11211253858057604,0.13175694722106626,10,1.0,unanimous_desired,True,0.05482753899286419,0.2504306250511074,below,10,10,1.0,1.0,2026082704,2026082710
capability_effect_nrmse,Chronos-2,regime_switching,5,10,0.13330105410721876,0.012547896331310083,0.09413201129840552,0.13178848864128426,0.11444101527488668,0.15853951003256003,0.04409849475767336,0.11622524460225618,0.1553951243795698,0.12432482981143915,0.14227727840299836,10,1.0,unanimous_desired,True,0.051647522140124136,0.24295253308119155,below,10,10,1.0,1.0,2026082707,2026082703
capability_effect_nrmse,Chronos-2,time_varying_seasonality,1,10,0.6108845347612369,0.027374067892149842,0.0448105432933393,0.6096673764550722,0.574977723150069,0.648343014185071,0.073365291035002,0.5754582294757833,0.6470344230047723,0.591302306250573,0.6304667632719009,10,1.0,unanimous_desired,True,0.15549610505259387,0.17604343133155032,below,9,9,0.9,0.9,2026082703,2026082707
capability_effect_nrmse,Chronos-2,time_varying_seasonality,2,10,0.47882769643403933,0.01830478389143445,0.038228331459844896,0.47612343814619673,0.4537062145585138,0.5031038206473369,0.049397606088823154,0.4550411851022466,0.5025856350717635,0.4657332428653323,0.49192215000274636,10,1.0,unanimous_desired,True,0.10113211864455134,0.18099871867383893,below,9,9,0.9,0.9,2026082706,2026082705
capability_effect_nrmse,Chronos-2,time_varying_seasonality,3,10,0.3819687563457807,0.0173474385916429,0.04541585745808742,0.3765834663988796,0.36160080193580685,0.40854478732612287,0.04694398539031602,0.36177507796189556,0.4083703414149061,0.36955914634866077,0.39437836634290063,10,1.0,unanimous_desired,True,0.07345757156616803,0.23615589546159896,below,9,9,0.9,0.9,2026082701,2026082705
