model_id,capability_id,n,mean,std,cv,median,min,max,range,desired_direction_rate,unanimous_level_rate
tirex2,common_factor,10,0.27277269510062363,0.012450075993155708,0.045642676912962185,0.2755329834700415,0.25395474633695875,0.28860407748415706,0.034649331147198315,1.0,1.0
tirex2,cross_series_dependence,10,0.922433722408296,0.044643157951353526,0.04839714427915631,0.8998604528356333,0.8875405364031794,1.004575418914887,0.11703488251170757,0.86,0.4
tirex2,covariate_impulse_response,10,0.8698453990433299,0.045836391004573596,0.052694870898880655,0.8679208538265499,0.8081230842396371,0.9421771977977278,0.13405411355809072,0.68,0.8
moirai2,trend,10,0.27082289559173267,0.015450539744049106,0.057050345430693934,0.27250022158496706,0.23844961028848188,0.29611231996991016,0.05766270968142828,1.0,1.0
moirai2,multi_seasonal,10,1.0582560140023574,0.028255046822772786,0.026699632649297513,1.059511195802831,1.0138389986637277,1.1181063990750257,0.104267400411298,0.18,0.6
moirai2,time_varying_seasonality,10,0.5455906362627834,0.017117259208407773,0.03137381412125859,0.54345343448075,0.5191070031995628,0.5806035206425857,0.06149651744302287,1.0,1.0
moirai2,regime_switching,10,0.16518885945966497,0.0053433617152888425,0.03234698594546298,0.16466590154464325,0.1580929736262333,0.1731982531840659,0.015105279557832585,1.0,1.0
moirai2,predictable_intermittency,10,1.0857724921043996,0.03755248833626963,0.03458596401119625,1.0738991296133076,1.038285044788898,1.1651140706623615,0.12682902587346345,0.2,1.0
moirai2,common_factor,10,0.36030651409909475,0.015387597623052019,0.0427069648227897,0.36369937691436494,0.329725756802768,0.37716069332355795,0.04743493652078995,1.0,1.0
moirai2,cross_series_dependence,10,0.9590366984737383,0.04996087455833096,0.05209485167547951,0.9423281013744846,0.9106356041635486,1.0439569824461432,0.1333213782825946,0.82,0.4
moirai2,covariate_impulse_response,10,0.6623838706719469,0.030517877775758127,0.046072797250934945,0.6569872993427952,0.624576082931564,0.7116743218629631,0.08709823893139912,1.0,1.0
Timer-3.5,trend,10,0.30885165042282225,0.014902146854814995,0.04825017717863494,0.3148120250088625,0.2757077961822,0.32459514068853035,0.048887344506330366,1.0,1.0
Timer-3.5,multi_seasonal,10,0.8444330120073081,0.014279358041858467,0.016909995036687275,0.8419002672651921,0.8251534971114044,0.874636667459993,0.04948317034858862,1.0,1.0
Timer-3.5,time_varying_seasonality,10,0.5229782493703219,0.018943604811711156,0.03622254813564369,0.5124806729043183,0.5062737558844205,0.5577133600902815,0.05143960420586102,1.0,1.0
Timer-3.5,regime_switching,10,0.1187796615070053,0.00428820075326051,0.036102146603672586,0.11857343697376523,0.11318213828326866,0.12516942723393132,0.011987288950662658,1.0,1.0
Timer-3.5,predictable_intermittency,10,0.9271838547347517,0.03583393145506633,0.03864814003401481,0.9165650253643858,0.8822079650398955,1.0110241005710108,0.12881613553111526,0.56,0.8
Timer-3.5,common_factor,10,0.3377201357820777,0.028313786894375425,0.08383801821235083,0.3495383148174219,0.29388707306317186,0.36422560156584494,0.07033852850267308,1.0,1.0
Timer-3.5,cross_series_dependence,10,0.9826222687522993,0.051941503003964724,0.05286009146721079,0.9654685121765602,0.9190477842393466,1.0744898935846434,0.1554421093452968,0.64,0.0
Timer-3.5,covariate_impulse_response,10,0.5028715550510263,0.041714443052410635,0.08295248087392391,0.5064740403959451,0.4365036674576591,0.5641670924349027,0.1276634249772436,1.0,1.0
toto2.0,trend,10,0.3739668905157273,0.08477076121792315,0.22667985687454353,0.3496501002717721,0.2848126819189686,0.5479619184671124,0.2631492365481438,1.0,1.0
toto2.0,multi_seasonal,10,0.7422544275534835,0.03005025341519282,0.04048511170790899,0.7419675249801171,0.692229389532742,0.793088641535638,0.10085925200289592,1.0,1.0
toto2.0,time_varying_seasonality,10,0.6138122710178895,0.05008268333330869,0.08159283497258242,0.5957269036568955,0.5471140461637904,0.6836226923959807,0.13650864623219028,0.88,0.8
toto2.0,regime_switching,10,0.18742507445221457,0.056040395476922814,0.2990015911196062,0.175784895736136,0.10759121588292415,0.2730337863027059,0.16544257041978178,1.0,1.0
toto2.0,predictable_intermittency,10,1.0722039349236538,0.05993661678420381,0.055900388752510584,1.0774606455446127,0.971353029206164,1.163507578877449,0.19215454967128498,0.38,0.8
toto2.0,common_factor,10,0.30474260883917637,0.0504845084163978,0.165662782138353,0.3300250043206183,0.2099739475787139,0.3407282287507269,0.130754281172013,1.0,1.0
toto2.0,cross_series_dependence,10,1.390796972495019,0.12588256370779854,0.0905110998925829,1.4377795998591396,1.199758699557933,1.537890801132911,0.3381321015749781,0.0,1.0
toto2.0,covariate_impulse_response,10,0.6804211151326178,0.05980650397575515,0.08789630810339936,0.6768624832962145,0.6121307307474027,0.8064430473042407,0.194312316556838,0.8,1.0
