metric,model_id,capability_id,capability_level,n,mean,std,cv,median,min,max,range,desired_direction_rate,direction_agreement,direction_unanimous,mean_approximate_within_seed_task_se,seed_sd_to_task_se_ratio
capability_effect_nrmse,Chronos-2,trend,2,10,0.09183252900942365,0.010266385925205145,0.11179465529204397,0.08666019323598667,0.08013751056441352,0.10957518241250444,0.029437671848090916,1.0,1.0,True,0.035121549955327326,0.29231016109093766
capability_effect_nrmse,Chronos-2,trend,3,10,0.08646703493358066,0.01319192064675008,0.15256589585711372,0.0793543779284028,0.07001814625169207,0.1092817017401887,0.039263555488496624,1.0,1.0,True,0.03423159094992686,0.3853727004989894
capability_effect_nrmse,Chronos-2,trend,4,10,0.08412804445240511,0.012169492008121164,0.14465440255188594,0.07944077721677166,0.06616777208972024,0.1035173197839161,0.03734954769419585,1.0,1.0,True,0.03499422121975414,0.3477571891570349
capability_effect_nrmse,Chronos-2,trend,5,10,0.08365973840006607,0.012055314092219499,0.1440993520033524,0.07893829714659076,0.06556687433902027,0.1074798795321269,0.04191300519310663,1.0,1.0,True,0.0358579183311301,0.336196707820422
capability_effect_nrmse,Timer-3.5,common_factor,1,10,0.4339500610764643,0.03378424093865901,0.07785283139459231,0.43270720292155057,0.39045323182627817,0.4853862228684925,0.09493299104221431,1.0,1.0,True,0.07874573693660478,0.4290294592818076
capability_effect_nrmse,Timer-3.5,common_factor,2,10,0.3820409032059432,0.02937749788897119,0.07689621096182714,0.39332680191083325,0.3370432418944196,0.4175487952174102,0.08050555332299059,1.0,1.0,True,0.0740723361021979,0.396605526906009
capability_effect_nrmse,Timer-3.5,common_factor,3,10,0.3358977033438015,0.03182060014857854,0.09473300898401557,0.34635487463178116,0.2886752438331738,0.3709051321341716,0.08222988830099781,1.0,1.0,True,0.07097749522614213,0.44831957012845547
capability_effect_nrmse,Timer-3.5,common_factor,4,10,0.28940173788435924,0.034037702132826274,0.11761402119301456,0.2939293575656595,0.24436007344006153,0.3402260318552386,0.09586595841517706,1.0,1.0,True,0.0641208200938602,0.530836974371223
capability_effect_nrmse,Timer-3.5,common_factor,5,10,0.24731027339982048,0.02603258292165642,0.10526284478109883,0.2533150268579326,0.20890357432192608,0.2771866055659785,0.06828303124405244,1.0,1.0,True,0.053710118327262045,0.48468675423570734
capability_effect_nrmse,Timer-3.5,covariate_impulse_response,1,10,0.7661546171370303,0.0632715145636996,0.08258321903760478,0.7641214248133342,0.6755593990575353,0.8869045797051128,0.21134518064757757,1.0,1.0,True,0.20876824524806598,0.30307058666186565
capability_effect_nrmse,Timer-3.5,covariate_impulse_response,2,10,0.6018924028851768,0.0553395246445375,0.09194255381737164,0.608577753530303,0.5114761761909503,0.6774350434020944,0.16595886721114406,1.0,1.0,True,0.1373370477591239,0.4029468053048421
capability_effect_nrmse,Timer-3.5,covariate_impulse_response,3,10,0.4790240353283467,0.04488541969240855,0.09370181114532566,0.4804805814202356,0.40102234430898426,0.540628775393983,0.13960643108499876,1.0,1.0,True,0.09400117347215138,0.4774985038426805
capability_effect_nrmse,Timer-3.5,covariate_impulse_response,4,10,0.3741907043951255,0.034973753395956306,0.0934650513365663,0.3760168823829366,0.3163399851284879,0.4300175577567397,0.11367757262825184,1.0,1.0,True,0.0680110163656181,0.5142365937886019
capability_effect_nrmse,Timer-3.5,covariate_impulse_response,5,10,0.29309601550945247,0.032288979304557694,0.11016519364288786,0.30046140459078907,0.2374317359945418,0.33688407743875054,0.09945234144420875,1.0,1.0,True,0.053456126555070094,0.6040276650290746
capability_effect_nrmse,Timer-3.5,cross_series_dependence,1,10,1.004814858105307,0.06527813877621949,0.06496533988292019,1.0203672540037743,0.9020618386169017,1.1189791796254103,0.21691734100850857,0.4,0.6,False,0.11834664250087272,0.5515842054897173
capability_effect_nrmse,Timer-3.5,cross_series_dependence,2,10,0.9766911557573555,0.03378615847623071,0.0345924689468821,0.9737214843944357,0.9311184186802971,1.0320626276518974,0.10094420897160028,0.7,0.7,False,0.12748361405435638,0.26502353833352255
capability_effect_nrmse,Timer-3.5,cross_series_dependence,3,10,0.9759210511776066,0.06900179878815657,0.07070428361484235,0.9454171346785119,0.906199623145311,1.0865069079333856,0.18030728478807456,0.7,0.7,False,0.1536798446799211,0.44899706224893093
capability_effect_nrmse,Timer-3.5,cross_series_dependence,4,10,0.9776456794490176,0.07367276804254222,0.07535732995215892,0.9388406427364782,0.9053029540243311,1.098127809577933,0.19282485555360185,0.7,0.7,False,0.1693210790303922,0.435106889611295
capability_effect_nrmse,Timer-3.5,cross_series_dependence,5,10,0.9780385992722094,0.0671239764288595,0.0686312140224411,0.9497639835576228,0.9140155450416283,1.0897174462867703,0.17570190124514196,0.7,0.7,False,0.1700267239149305,0.39478486018729414
capability_effect_nrmse,Timer-3.5,multi_seasonal,1,10,0.7013086353531056,0.018019355740210224,0.025693902558518424,0.6973162914442226,0.6817070682069785,0.7479398822416199,0.06623281403464143,1.0,1.0,True,0.08407252064524695,0.2143310989359393
capability_effect_nrmse,Timer-3.5,multi_seasonal,2,10,0.799728182485443,0.01871056136038878,0.023396151055023445,0.792906854132902,0.7752121436273325,0.8373797005698063,0.06216755694247378,1.0,1.0,True,0.08657905505149681,0.21610955847531282
capability_effect_nrmse,Timer-3.5,multi_seasonal,3,10,0.8626608889186104,0.01943582263794013,0.022530084402347172,0.8570704151686941,0.8368236285755399,0.9014527642361354,0.06462913566059547,1.0,1.0,True,0.08211705186829243,0.23668436939398715
capability_effect_nrmse,Timer-3.5,multi_seasonal,4,10,0.9133274012539241,0.01952990792502283,0.021383249750538368,0.9088873280031269,0.8829865700111202,0.9417740062136184,0.058787436202498156,1.0,1.0,True,0.07771879326851149,0.25128938707976
capability_effect_nrmse,Timer-3.5,multi_seasonal,5,10,0.9451399520254575,0.015595109897236475,0.016500318142107718,0.9437430539824525,0.9277283884899903,0.972745166664194,0.04501677817420369,1.0,1.0,True,0.0767831431953429,0.20310590643002432
