suite,benchmark,horizon_group,task_id,model_id,capability_id,capability_level,official_instance_count,treatment_mase,treatment_mae
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,cross_series_dependence,4,2336,1.037678279,369.0263162
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,cross_series_dependence,5,2336,1.09300122,371.7058543
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,multi_seasonal,1,2427,2.729667805,396.2410984
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,multi_seasonal,2,2427,2.781621648,405.0531196
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,multi_seasonal,3,2427,2.810460793,412.2046533
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,multi_seasonal,4,2427,2.835085686,413.6809943
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,multi_seasonal,5,2427,2.864106121,415.6151347
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,predictable_intermittency,1,2427,2.744283791,363.1777979
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,predictable_intermittency,2,2427,2.776422191,396.9072843
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,predictable_intermittency,3,2427,2.752477311,398.3026445
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,predictable_intermittency,4,2427,2.700466547,391.9329408
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,predictable_intermittency,5,2427,2.666361515,386.9327233
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,regime_switching,1,2427,2.530559401,336.1148454
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,regime_switching,2,2427,2.531486246,323.1826516
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,regime_switching,3,2427,2.540187943,314.2115461
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,regime_switching,4,2427,2.572709373,331.8485624
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,regime_switching,5,2427,2.700496622,360.7321418
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,time_varying_seasonality,1,2103,0.9479821722,430.9971948
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,time_varying_seasonality,2,2103,0.9854809805,434.2856227
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,time_varying_seasonality,3,2103,1.022372863,438.3965138
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,time_varying_seasonality,4,2103,1.056833163,450.1787457
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,time_varying_seasonality,5,2103,1.093256909,463.949761
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,trend,1,865,1.869849901,188.0264987
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,trend,2,865,1.871229208,176.6338733
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,trend,3,865,1.872947398,157.4652007
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,trend,4,865,1.874784968,145.4193676
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,timesfm2.5,trend,5,865,1.869818071,139.940554
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,covariate_impulse_response,1,2393,1.186788695,320.4887715
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,covariate_impulse_response,2,2393,1.192668215,322.2171793
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,covariate_impulse_response,3,2393,1.198512161,323.3917928
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,covariate_impulse_response,4,2393,1.213662089,323.4942219
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,covariate_impulse_response,5,2393,1.228533123,325.3561483
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,cross_series_dependence,1,2336,0.9020735954,316.4614418
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,cross_series_dependence,2,2336,0.9227629938,315.6570099
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,cross_series_dependence,3,2336,0.9522591679,316.497737
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,tirex2,cross_series_dependence,4,2336,0.9980780542,316.8896504
