suite,benchmark,horizon_group,task_id,model_id,capability_id,capability_level,effect_nrmse_pooled,effect_scoring_coverage,effect_candidate_count,official_instance_count,effect_unavailable_low_signal_count,effect_unavailable_unobserved_count,effect_correlation_mean,effect_amplitude_ratio_pooled
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,trend,3,1.247735677,1,865,865,0,0,0.002771665908,1.571752854
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,trend,4,0.9612121948,1,865,865,0,0,0.07348519374,1.374474134
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-3.5,trend,5,0.6939220648,1,865,865,0,0,0.1181988508,1.201446327
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,covariate_impulse_response,1,5.120640468,1,2393,2393,0,0,0.4026607556,5.113942772
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,covariate_impulse_response,2,3.18921836,1,2393,2393,0,0,0.4683979815,3.249665806
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,covariate_impulse_response,3,2.070356594,1,2393,2393,0,0,0.5362275568,2.253634372
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,covariate_impulse_response,4,1.14669414,1,2393,2393,0,0,0.6132576373,1.484438101
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,covariate_impulse_response,5,0.8252232188,1,2393,2393,0,0,0.6903775966,1.270712545
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,cross_series_dependence,1,1.064158723,0.8356164384,2336,1952,384,0,0.1637460591,1.442014721
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,cross_series_dependence,2,1.145298554,0.9413527397,2336,2199,137,0,0.1750167596,1.501523155
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,cross_series_dependence,3,1.178126001,0.9794520548,2336,2288,48,0,0.1877496384,1.526818089
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,cross_series_dependence,4,1.193865331,0.991010274,2336,2315,21,0,0.1947329856,1.536191782
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,cross_series_dependence,5,1.098839951,0.9944349315,2336,2323,13,0,0.1986893753,1.446430672
GIFT-Short,GIFT-Eval,short,gift_bitbrains_fast_h,Timer-4.0,multi_seasonal,1,2.285392743,1,2427,2427,0,0,0.7004105985,2.418592699
