suite,capability_id,left_model_id,right_model_id,paired_task_count,mean_difference_left_minus_right,paired_task_bootstrap_95_ci_lower,paired_task_bootstrap_95_ci_upper,significant_uncorrected,better_model_id
FEV-Mini20,time_varying_seasonality,Timer-3.5,tirex2,20,-0.03833023768,-0.2266011996,0.07923802081,False,
FEV-Mini20,time_varying_seasonality,Timer-3.5,moirai2,20,-0.04188615273,-0.1253860844,0.02040973193,False,
FEV-Mini20,time_varying_seasonality,Timer-3.5,toto2.0,20,0.0929281062,0.01972669614,0.1646607572,True,toto2.0
FEV-Mini20,time_varying_seasonality,timesfm2.5,tirex2,20,-0.06032406404,-0.275099468,0.07964517815,False,
FEV-Mini20,time_varying_seasonality,timesfm2.5,moirai2,20,-0.06387997909,-0.144557259,0.003303607809,False,
FEV-Mini20,time_varying_seasonality,timesfm2.5,toto2.0,20,0.07093427984,-0.00117000254,0.1390295364,False,
FEV-Mini20,time_varying_seasonality,tirex2,moirai2,20,-0.00355591505,-0.1519750582,0.2088244954,False,
FEV-Mini20,time_varying_seasonality,tirex2,toto2.0,20,0.1312583439,0.005797014414,0.3221645158,True,toto2.0
FEV-Mini20,time_varying_seasonality,moirai2,toto2.0,20,0.1348142589,0.06367934274,0.2145556616,True,toto2.0
FEV-Mini20,multi_seasonal,Chronos-2,Timer-4.0,20,-0.05724719551,-0.2300058084,0.1562060782,False,
FEV-Mini20,multi_seasonal,Chronos-2,Timer-3.5,20,0.05890302014,-0.1635898253,0.3342290169,False,
FEV-Mini20,multi_seasonal,Chronos-2,timesfm2.5,20,0.2482194853,0.01985438485,0.5247097293,True,timesfm2.5
FEV-Mini20,multi_seasonal,Chronos-2,tirex2,20,0.1596237853,0.01465692675,0.3519456986,True,tirex2
FEV-Mini20,multi_seasonal,Chronos-2,moirai2,20,-0.01074277403,-0.2690925492,0.2788955273,False,
FEV-Mini20,multi_seasonal,Chronos-2,toto2.0,20,0.3925031307,0.1996810308,0.6273621526,True,toto2.0
FEV-Mini20,multi_seasonal,Timer-4.0,Timer-3.5,20,0.1161502157,-0.04878705413,0.3085795444,False,
FEV-Mini20,multi_seasonal,Timer-4.0,timesfm2.5,20,0.3054666808,0.1011124032,0.5499658429,True,timesfm2.5
FEV-Mini20,multi_seasonal,Timer-4.0,tirex2,20,0.2168709808,0.06781517264,0.408960628,True,tirex2
FEV-Mini20,multi_seasonal,Timer-4.0,moirai2,20,0.04650442148,-0.1258952882,0.2490039034,False,
FEV-Mini20,multi_seasonal,Timer-4.0,toto2.0,20,0.4497503262,0.2893131175,0.6320775144,True,toto2.0
FEV-Mini20,multi_seasonal,Timer-3.5,timesfm2.5,20,0.1893164651,0.1022168549,0.3054811532,True,timesfm2.5
FEV-Mini20,multi_seasonal,Timer-3.5,tirex2,20,0.1007207651,-0.09935168026,0.2622646313,False,
FEV-Mini20,multi_seasonal,Timer-3.5,moirai2,20,-0.06964579418,-0.1920667961,0.03345958187,False,
FEV-Mini20,multi_seasonal,Timer-3.5,toto2.0,20,0.3336001105,0.2390119614,0.4328496584,True,toto2.0
FEV-Mini20,multi_seasonal,timesfm2.5,tirex2,20,-0.08859569996,-0.2805348635,0.03752863164,False,
FEV-Mini20,multi_seasonal,timesfm2.5,moirai2,20,-0.2589622593,-0.4777947748,-0.1072902702,True,timesfm2.5
FEV-Mini20,multi_seasonal,timesfm2.5,toto2.0,20,0.1442836454,0.06490787504,0.2176970609,True,toto2.0
FEV-Mini20,multi_seasonal,tirex2,moirai2,20,-0.1703665593,-0.4250924054,0.0722868864,False,
FEV-Mini20,multi_seasonal,tirex2,toto2.0,20,0.2328793454,0.1137921832,0.3890421082,True,toto2.0
FEV-Mini20,multi_seasonal,moirai2,toto2.0,20,0.4032459047,0.2620135974,0.5808289624,True,toto2.0
FEV-Mini20,predictable_intermittency,Chronos-2,Timer-4.0,18,-0.2090135482,-0.5266777767,-0.03011926814,True,Chronos-2
FEV-Mini20,predictable_intermittency,Chronos-2,Timer-3.5,18,-0.02917488686,-0.2651947527,0.1557884224,False,
FEV-Mini20,predictable_intermittency,Chronos-2,timesfm2.5,18,0.06932758189,-0.03319899192,0.2134849199,False,
FEV-Mini20,predictable_intermittency,Chronos-2,tirex2,18,0.03975881827,0.00452035346,0.08499625559,True,tirex2
FEV-Mini20,predictable_intermittency,Chronos-2,moirai2,18,-0.1284195088,-0.487869989,0.1143885749,False,
