suite,benchmark,horizon_group,model_id,capability_id,level_averaged_effect_nrmse,task_bootstrap_95_ci_lower,task_bootstrap_95_ci_upper,task_count,suite_task_count,task_coverage,bootstrap_repetitions,derived_display_metric,capability_rank
GIFT-Medium,GIFT-Eval,medium,Chronos-2,multi_seasonal,1.101720225,0.7722827171,1.68482115,11,11,1,20000,True,3
GIFT-Medium,GIFT-Eval,medium,toto2.0,multi_seasonal,1.130957184,0.6228007839,1.979759191,11,11,1,20000,True,4
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,multi_seasonal,1.206342877,0.9198726648,1.573578027,11,11,1,20000,True,5
GIFT-Medium,GIFT-Eval,medium,moirai2,multi_seasonal,1.728902861,1.162007956,2.444828818,11,11,1,20000,True,6
GIFT-Medium,GIFT-Eval,medium,moirai2,predictable_intermittency,1.115235624,1.036367081,1.207830765,11,11,1,20000,True,1
GIFT-Medium,GIFT-Eval,medium,Timer-4.0,predictable_intermittency,1.288318766,1.139945168,1.458825413,11,11,1,20000,True,2
GIFT-Medium,GIFT-Eval,medium,timesfm2.5,predictable_intermittency,1.321852674,1.010589378,1.886235153,11,11,1,20000,True,3
GIFT-Medium,GIFT-Eval,medium,Chronos-2,predictable_intermittency,1.402336979,1.034835626,2.093348216,11,11,1,20000,True,4
GIFT-Medium,GIFT-Eval,medium,toto2.0,predictable_intermittency,1.556277288,0.9713265149,2.632019752,11,11,1,20000,True,5
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,predictable_intermittency,1.738459405,1.056798554,2.963322899,11,11,1,20000,True,6
GIFT-Medium,GIFT-Eval,medium,Chronos-2,regime_switching,0.0532803791,0.03499685798,0.07342025437,11,11,1,20000,True,1
GIFT-Medium,GIFT-Eval,medium,Timer-4.0,regime_switching,0.1246832303,0.08083750706,0.1704445749,11,11,1,20000,True,2
GIFT-Medium,GIFT-Eval,medium,timesfm2.5,regime_switching,0.1305952409,0.07407414303,0.1959973533,11,11,1,20000,True,3
GIFT-Medium,GIFT-Eval,medium,toto2.0,regime_switching,0.175896607,0.1343172242,0.2179259375,11,11,1,20000,True,4
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,regime_switching,0.19087616,0.1156356035,0.2848220438,11,11,1,20000,True,5
GIFT-Medium,GIFT-Eval,medium,moirai2,regime_switching,0.2761034234,0.1820571143,0.3816292697,11,11,1,20000,True,6
GIFT-Medium,GIFT-Eval,medium,Chronos-2,time_varying_seasonality,0.7866182767,0.6237744488,0.9634669457,10,11,0.9090909091,20000,True,1
GIFT-Medium,GIFT-Eval,medium,Timer-4.0,time_varying_seasonality,0.9137764858,0.7355206346,1.106195983,10,11,0.9090909091,20000,True,2
