experiment_id,suite,benchmark,horizon_group,suite_order,capability_id,capability_level,left_model_id,metric,paired_task_bootstrap_95_ci_lower,paired_task_bootstrap_95_ci_upper,paired_task_count,right_model_id,task_equal_mean_difference_left_minus_right,significant_uncorrected,better_model_id
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,3,tirex2,capability_effect_nrmse,-0.1472905866,0.08470668919,4,toto2.0,-0.006413619971,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,4,Chronos-2,capability_effect_nrmse,-0.09885793164,0.05911008157,4,Timer-3.5,-0.02399345717,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,4,Chronos-2,capability_effect_nrmse,-0.138587654,-0.02256379074,4,moirai2,-0.0809318366,True,Chronos-2
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,4,Chronos-2,capability_effect_nrmse,-0.1009353047,0.002414760043,4,timesfm2.5,-0.05379171147,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,4,Chronos-2,capability_effect_nrmse,-0.06377041432,0.05806395334,4,tirex2,0.003042888678,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,4,Chronos-2,capability_effect_nrmse,-0.06446635065,0.1206605833,4,toto2.0,0.01739840296,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,4,Timer-3.5,capability_effect_nrmse,-0.1937686293,0.03511121676,4,moirai2,-0.05693837943,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,4,Timer-3.5,capability_effect_nrmse,-0.1444618724,0.03511763063,4,timesfm2.5,-0.02979825429,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,4,Timer-3.5,capability_effect_nrmse,-0.01058146125,0.07072973372,4,tirex2,0.02703634585,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,4,Timer-3.5,capability_effect_nrmse,-0.005774743954,0.08637446788,4,toto2.0,0.04139186013,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,4,moirai2,capability_effect_nrmse,-0.005011992416,0.05929224268,4,timesfm2.5,0.02714012513,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,4,moirai2,capability_effect_nrmse,-0.01152979194,0.1794792425,4,tirex2,0.08397472528,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,4,moirai2,capability_effect_nrmse,0.007646303086,0.2533522873,4,toto2.0,0.09833023956,True,toto2.0
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,4,timesfm2.5,capability_effect_nrmse,-0.00651779952,0.1375111938,4,tirex2,0.05683460015,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,4,timesfm2.5,capability_effect_nrmse,-0.03424592157,0.2088121441,4,toto2.0,0.07119011442,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,4,tirex2,capability_effect_nrmse,-0.07778296629,0.07936942465,4,toto2.0,0.01435551428,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,5,Chronos-2,capability_effect_nrmse,-0.09127986712,0.01109830468,4,Timer-3.5,-0.04009078122,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,5,Chronos-2,capability_effect_nrmse,-0.1632073866,-0.02716967904,4,moirai2,-0.09112394475,True,Chronos-2
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,5,Chronos-2,capability_effect_nrmse,-0.09840197775,0.002739004803,4,timesfm2.5,-0.04783148647,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,5,Chronos-2,capability_effect_nrmse,-0.06320007966,0.01429918575,4,tirex2,-0.01773022746,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,5,Chronos-2,capability_effect_nrmse,-0.0296589724,0.05339778894,4,toto2.0,0.008773398907,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,5,Timer-3.5,capability_effect_nrmse,-0.1675527532,0.02176044815,4,moirai2,-0.05103316352,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,5,Timer-3.5,capability_effect_nrmse,-0.1080373816,0.05599108612,4,timesfm2.5,-0.00774070525,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,5,Timer-3.5,capability_effect_nrmse,-0.01999688973,0.07452053025,4,tirex2,0.02236055376,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,5,Timer-3.5,capability_effect_nrmse,0.02997461081,0.0719478135,4,toto2.0,0.04886418013,True,toto2.0
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,5,moirai2,capability_effect_nrmse,0.009180665948,0.0774042506,4,timesfm2.5,0.04329245827,True,timesfm2.5
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,5,moirai2,capability_effect_nrmse,-0.007085493025,0.1538729276,4,tirex2,0.07339371729,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,5,moirai2,capability_effect_nrmse,0.02975105922,0.2166051755,4,toto2.0,0.09989734365,True,toto2.0
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,5,timesfm2.5,capability_effect_nrmse,-0.01626615897,0.08804049188,4,tirex2,0.03010125901,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,5,timesfm2.5,capability_effect_nrmse,-0.01321612101,0.1522500864,4,toto2.0,0.05660488538,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,common_factor,5,tirex2,capability_effect_nrmse,-0.02790868449,0.0713477864,4,toto2.0,0.02650362636,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,1,Chronos-2,capability_effect_nrmse,-0.1835159613,0.1561068825,6,Timer-3.5,-0.01630654504,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,1,Chronos-2,capability_effect_nrmse,-0.2893120862,0.1703732266,6,moirai2,-0.0770675368,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,1,Chronos-2,capability_effect_nrmse,-0.1158121068,0.155674186,6,timesfm2.5,0.01763202901,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,1,Chronos-2,capability_effect_nrmse,-2.604111191,0.2216489328,6,tirex2,-0.7611888182,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,1,Chronos-2,capability_effect_nrmse,-1.241797636,0.184280147,6,toto2.0,-0.3608674265,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,1,Timer-3.5,capability_effect_nrmse,-0.2718173685,0.1305541173,6,moirai2,-0.06076099176,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,1,Timer-3.5,capability_effect_nrmse,-0.2156990658,0.229021108,6,timesfm2.5,0.03393857405,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,1,Timer-3.5,capability_effect_nrmse,-2.708778271,0.2994485669,6,tirex2,-0.7448822732,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,1,Timer-3.5,capability_effect_nrmse,-1.363666435,0.2207543715,6,toto2.0,-0.3445608814,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,1,moirai2,capability_effect_nrmse,-0.2363825897,0.4335705643,6,timesfm2.5,0.09469956581,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,1,moirai2,capability_effect_nrmse,-2.704693391,0.5111156153,6,tirex2,-0.6841212814,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,1,moirai2,capability_effect_nrmse,-1.401177864,0.384490603,6,toto2.0,-0.2837998897,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,1,timesfm2.5,capability_effect_nrmse,-2.496633333,0.1030616214,6,tirex2,-0.7788208472,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,1,timesfm2.5,capability_effect_nrmse,-1.171651922,0.1100619307,6,toto2.0,-0.3784994555,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,1,tirex2,capability_effect_nrmse,-0.1648338744,1.349200343,6,toto2.0,0.4003213918,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,2,Chronos-2,capability_effect_nrmse,-0.1714155741,0.2810440236,6,Timer-3.5,0.05159107765,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,2,Chronos-2,capability_effect_nrmse,-0.2419756129,0.3037066962,6,moirai2,-0.01813169279,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,2,Chronos-2,capability_effect_nrmse,-0.08381410157,0.398751929,6,timesfm2.5,0.1467393193,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,2,Chronos-2,capability_effect_nrmse,-1.325741624,0.3094179196,6,tirex2,-0.32066236,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,2,Chronos-2,capability_effect_nrmse,-0.4134219355,0.3170614759,6,toto2.0,-0.02486576118,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,2,Timer-3.5,capability_effect_nrmse,-0.2569470184,0.1163705639,6,moirai2,-0.06972277044,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,2,Timer-3.5,capability_effect_nrmse,-0.01973743265,0.2237576504,6,timesfm2.5,0.09514824167,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,2,Timer-3.5,capability_effect_nrmse,-1.527094463,0.2593072584,6,tirex2,-0.3722534377,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,2,Timer-3.5,capability_effect_nrmse,-0.6553347105,0.2623070123,6,toto2.0,-0.07645683883,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,2,moirai2,capability_effect_nrmse,-0.1046900002,0.4538621006,6,timesfm2.5,0.1648710121,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,2,moirai2,capability_effect_nrmse,-1.589190736,0.4695612137,6,tirex2,-0.3025306672,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,2,moirai2,capability_effect_nrmse,-0.7337342187,0.4513766445,6,toto2.0,-0.006734068391,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,2,timesfm2.5,capability_effect_nrmse,-1.578011165,0.1529731043,6,tirex2,-0.4674016793,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,2,timesfm2.5,capability_effect_nrmse,-0.7014781905,0.1859012304,6,toto2.0,-0.1716050805,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,2,tirex2,capability_effect_nrmse,-0.06152711753,0.8949538072,6,toto2.0,0.2957965988,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,3,Chronos-2,capability_effect_nrmse,-0.1737144186,0.2776802203,6,Timer-3.5,0.04475412247,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,3,Chronos-2,capability_effect_nrmse,-0.2876783254,0.1503493192,6,moirai2,-0.0778447582,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,3,Chronos-2,capability_effect_nrmse,-0.1778382519,0.401374839,6,timesfm2.5,0.1103114739,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,3,Chronos-2,capability_effect_nrmse,-0.8181348068,0.3483332185,6,tirex2,-0.153413486,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,3,Chronos-2,capability_effect_nrmse,-0.2650855285,0.3136514243,6,toto2.0,0.02894712617,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,3,Timer-3.5,capability_effect_nrmse,-0.2570916806,0.005945130402,6,moirai2,-0.1225988807,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,3,Timer-3.5,capability_effect_nrmse,-0.05894194198,0.1811088147,6,timesfm2.5,0.06555735141,False,
gift-v15-short-qualified-feasible-seed2026082701,GIFT-Short,GIFT-Eval,short,0,covariate_impulse_response,3,Timer-3.5,capability_effect_nrmse,-0.9638822205,0.2246032809,6,tirex2,-0.1981676085,False,
