suite,benchmark,horizon_group,model_id,capability_id,capability_level,effect_nrmse_task_equal,effect_nrmse_ci_lower,effect_nrmse_ci_upper,task_count,suite_task_count,task_coverage,cell_rank,cell_winner
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,1,0.5891142747,0.3131142706,0.8665507938,9,20,0.45,2,False
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,1,0.6237481526,0.339023654,0.9591818728,9,20,0.45,3,False
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,1,0.6502074464,0.3472220888,0.9630583681,9,20,0.45,4,False
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,1,0.660075446,0.3449134595,0.9599378192,9,20,0.45,5,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,1,0.7036272642,0.3954032374,1.010824232,9,20,0.45,6,False
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,2,0.7059387758,0.3316774962,1.124699033,9,20,0.45,1,True
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,2,0.7147041748,0.333033479,1.163175302,9,20,0.45,2,False
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,2,0.7366262648,0.347234006,1.177434531,9,20,0.45,3,False
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,2,0.7603263679,0.3728139163,1.179214657,9,20,0.45,4,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,2,0.7818311059,0.3927598335,1.218754039,9,20,0.45,5,False
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,2,0.8049730653,0.3778360056,1.272757989,9,20,0.45,6,False
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,3,0.730167244,0.3176191061,1.215187833,9,20,0.45,1,True
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,3,0.7353966733,0.3217172379,1.195986269,9,20,0.45,2,False
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,3,0.7549786306,0.3508465782,1.211423202,9,20,0.45,3,False
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,3,0.7741808636,0.3657937155,1.252097942,9,20,0.45,4,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,3,0.7873308796,0.3817127994,1.241831562,9,20,0.45,5,False
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,3,0.846188561,0.389486809,1.391966611,9,20,0.45,6,False
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,4,0.7737976132,0.3071967408,1.349132856,9,20,0.45,1,True
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,4,0.77561063,0.3353080154,1.346830408,9,20,0.45,2,False
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,4,0.7988197549,0.362304154,1.32564816,9,20,0.45,3,False
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,4,0.809532789,0.355500428,1.362118574,9,20,0.45,4,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,4,0.8185296626,0.3438825179,1.380002431,9,20,0.45,5,False
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,4,0.9246985213,0.3802180584,1.6761132,9,20,0.45,6,False
FEV-Mini20,FEV-Bench,native,Chronos-2,cross_series_dependence,5,0.7855502975,0.3341285466,1.351505661,9,20,0.45,1,True
FEV-Mini20,FEV-Bench,native,tirex2,cross_series_dependence,5,0.7870672498,0.3248266362,1.375091855,9,20,0.45,2,False
FEV-Mini20,FEV-Bench,native,toto2.0,cross_series_dependence,5,0.8080404505,0.3541836486,1.369204658,9,20,0.45,3,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,cross_series_dependence,5,0.8181809473,0.3488632909,1.444062443,9,20,0.45,4,False
FEV-Mini20,FEV-Bench,native,timesfm2.5,cross_series_dependence,5,0.8204744188,0.3489071149,1.391594969,9,20,0.45,5,False
FEV-Mini20,FEV-Bench,native,moirai2,cross_series_dependence,5,0.9715294886,0.3720484234,1.833666001,9,20,0.45,6,False
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,1,0.6884693406,0.5076448323,0.8795498333,20,20,1,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,1,0.8364637191,0.6806384458,1.002415715,20,20,1,2,False
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,1,0.9145580553,0.6908530721,1.191979039,20,20,1,3,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,1,1.029631163,0.8216984302,1.253695949,20,20,1,4,False
FEV-Mini20,FEV-Bench,native,Chronos-2,multi_seasonal,1,1.055831267,0.7886998108,1.367341144,20,20,1,5,False
FEV-Mini20,FEV-Bench,native,moirai2,multi_seasonal,1,1.128883998,0.9078367341,1.435391401,20,20,1,6,False
FEV-Mini20,FEV-Bench,native,toto2.0,multi_seasonal,2,0.7579846828,0.5851239366,0.9492046798,20,20,1,1,True
FEV-Mini20,FEV-Bench,native,timesfm2.5,multi_seasonal,2,0.913941658,0.7549557725,1.080451702,20,20,1,2,False
FEV-Mini20,FEV-Bench,native,tirex2,multi_seasonal,2,1.004820738,0.7820569555,1.274024561,20,20,1,3,False
FEV-Mini20,FEV-Bench,native,Timer-3.5,multi_seasonal,2,1.109007758,0.8968187506,1.359765553,20,20,1,4,False
