suite,benchmark,horizon_group,model_id,capability_id,level_averaged_treatment_mase,task_count,level_averaged_effect_nrmse,capability_rank,treatment_mase_rank,same_winner
GIFT-Long,GIFT-Eval,long,timesfm2.5,regime_switching,3.253290489,11,0.1055890894,2,3,False
GIFT-Long,GIFT-Eval,long,Timer-3.5,regime_switching,3.099932621,11,0.174551316,3,2,False
GIFT-Long,GIFT-Eval,long,toto2.0,regime_switching,16.99420667,11,0.2649193968,4,5,False
GIFT-Long,GIFT-Eval,long,moirai2,regime_switching,4.44188103,11,0.3262622664,5,4,False
GIFT-Long,GIFT-Eval,long,Chronos-2,time_varying_seasonality,4.859883719,10,0.85926337,1,1,True
GIFT-Long,GIFT-Eval,long,timesfm2.5,time_varying_seasonality,5.632105256,10,0.9610404233,2,2,False
GIFT-Long,GIFT-Eval,long,toto2.0,time_varying_seasonality,23.43193915,10,1.118731231,3,5,False
GIFT-Long,GIFT-Eval,long,moirai2,time_varying_seasonality,9.716692348,10,1.18995801,4,4,False
GIFT-Long,GIFT-Eval,long,Timer-3.5,time_varying_seasonality,8.02067247,10,1.222656776,5,3,False
GIFT-Long,GIFT-Eval,long,Chronos-2,trend,3.596896524,10,0.06226991482,1,2,False
GIFT-Long,GIFT-Eval,long,timesfm2.5,trend,3.681873234,10,0.124415789,2,3,False
GIFT-Long,GIFT-Eval,long,Timer-3.5,trend,3.549016259,10,0.1909827222,3,1,False
GIFT-Long,GIFT-Eval,long,moirai2,trend,4.608732136,10,0.2132425505,4,4,False
GIFT-Long,GIFT-Eval,long,toto2.0,trend,16.11520207,10,0.2572961598,5,5,False
GIFT-Medium,GIFT-Eval,medium,Chronos-2,common_factor,0.9187028112,4,0.2568179967,1,1,True
GIFT-Medium,GIFT-Eval,medium,toto2.0,common_factor,1.16266232,4,0.3771920467,2,4,False
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,common_factor,0.9518983433,4,0.473736308,3,2,False
GIFT-Medium,GIFT-Eval,medium,timesfm2.5,common_factor,0.9658362122,4,0.5244791105,4,3,False
GIFT-Medium,GIFT-Eval,medium,moirai2,common_factor,1.324048657,4,0.5709222302,5,5,False
GIFT-Medium,GIFT-Eval,medium,timesfm2.5,covariate_impulse_response,6.849175349,4,0.3726284925,1,3,False
GIFT-Medium,GIFT-Eval,medium,moirai2,covariate_impulse_response,9.773449995,4,0.4573683056,2,4,False
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,covariate_impulse_response,6.848265926,4,0.4975378205,3,2,False
GIFT-Medium,GIFT-Eval,medium,Chronos-2,covariate_impulse_response,5.150830604,4,0.533018195,4,1,False
GIFT-Medium,GIFT-Eval,medium,toto2.0,covariate_impulse_response,19.0718701,4,0.54968864,5,5,False
GIFT-Medium,GIFT-Eval,medium,Chronos-2,cross_series_dependence,7.689809102,6,0.9922667515,1,1,True
GIFT-Medium,GIFT-Eval,medium,moirai2,cross_series_dependence,9.902213529,6,1.050639156,2,4,False
GIFT-Medium,GIFT-Eval,medium,timesfm2.5,cross_series_dependence,8.08857618,6,1.0530052,3,3,False
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,cross_series_dependence,8.041416366,6,1.070118509,4,2,False
GIFT-Medium,GIFT-Eval,medium,toto2.0,cross_series_dependence,15.98837202,6,1.188800212,5,5,False
GIFT-Medium,GIFT-Eval,medium,timesfm2.5,multi_seasonal,4.016397823,11,0.9607989633,1,1,True
GIFT-Medium,GIFT-Eval,medium,Chronos-2,multi_seasonal,5.30943405,11,1.101720225,2,2,False
GIFT-Medium,GIFT-Eval,medium,toto2.0,multi_seasonal,10.48807836,11,1.130957184,3,4,False
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,multi_seasonal,5.532693398,11,1.206342877,4,3,False
GIFT-Medium,GIFT-Eval,medium,moirai2,multi_seasonal,10.67080929,11,1.728902861,5,5,False
GIFT-Medium,GIFT-Eval,medium,moirai2,predictable_intermittency,3.59190386,11,1.115235624,1,4,False
GIFT-Medium,GIFT-Eval,medium,timesfm2.5,predictable_intermittency,2.936244793,11,1.321852674,2,2,False
GIFT-Medium,GIFT-Eval,medium,Chronos-2,predictable_intermittency,2.851137405,11,1.402336979,3,1,False
GIFT-Medium,GIFT-Eval,medium,toto2.0,predictable_intermittency,6.458565704,11,1.556277288,4,5,False
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,predictable_intermittency,3.039383572,11,1.738459405,5,3,False
GIFT-Medium,GIFT-Eval,medium,Chronos-2,regime_switching,2.378389411,11,0.0532803791,1,1,True
GIFT-Medium,GIFT-Eval,medium,timesfm2.5,regime_switching,2.45258564,11,0.1305952409,2,2,False
GIFT-Medium,GIFT-Eval,medium,toto2.0,regime_switching,7.596805884,11,0.175896607,3,5,False
GIFT-Medium,GIFT-Eval,medium,Timer-3.5,regime_switching,2.580981572,11,0.19087616,4,3,False
GIFT-Medium,GIFT-Eval,medium,moirai2,regime_switching,4.02556197,11,0.2761034234,5,4,False
GIFT-Medium,GIFT-Eval,medium,Chronos-2,time_varying_seasonality,7.051212805,10,0.7866182767,1,2,False
GIFT-Medium,GIFT-Eval,medium,timesfm2.5,time_varying_seasonality,3.506960436,10,0.9795761154,2,1,False
