suite,metric,model_id,pairwise_comparison_count,uncorrected_significant_wins,uncorrected_significant_losses,not_significant,warning
GIFT-Short,input_ablation_mase_degradation,moirai2,90,17,5,68,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Short,input_ablation_mase_degradation,timesfm2.5,90,15,8,67,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Short,input_ablation_mase_degradation,tirex2,90,25,2,63,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Short,input_ablation_mase_degradation,toto2.0,90,10,37,43,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Short,official_mase,Chronos-2,6,1,2,3,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Short,official_mase,Timer-3.5,6,1,0,5,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Short,official_mase,Timer-4.0,6,1,2,3,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Short,official_mase,moirai2,6,0,6,0,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Short,official_mase,timesfm2.5,6,1,0,5,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Short,official_mase,tirex2,6,3,0,3,95% paired task-bootstrap intervals; no multiple-comparison correction
GIFT-Short,official_mase,toto2.0,6,3,0,3,95% paired task-bootstrap intervals; no multiple-comparison correction
